elkYear,date,X,Y,elevation
2055_1,2001-03-06,552791.99999997,4970663,2405.07543945313
2059_1,2001-03-06,550442.999999972,4975078,1966.22119140625
2073_1,2001-03-06,535570.000000007,4977486,2201.31591796875
2055_1,2001-03-07,552464.000000022,4970992,2419.04077148438
2059_1,2001-03-07,549885.000000008,4975223,2025.58984375
2073_1,2001-03-07,534539.000000028,4977648,2115.4375
2055_1,2001-03-08,552425.999999993,4970956,2408.28466796875
2073_1,2001-03-08,534918.999999978,4977784,2154.4794921875
2059_1,2001-03-08,550532.000000031,4975093,1964.43994140625
2055_1,2001-03-09,552644.000000024,4970736,2407.82153320313
2073_1,2001-03-09,534869.000000024,4978415,2106.97192382813
2059_1,2001-03-09,549159.99999999,4976946,2101.08471679688
2055_1,2001-03-10,552616.999999981,4971024,2382.53198242188
2073_1,2001-03-10,534789.000000018,4978920,2073.92626953125
2059_1,2001-03-10,547814.000000017,4976404,2021.27221679687
2059_1,2001-03-11,547251,4976585,1988.92333984375
2055_1,2001-03-11,552315.99999997,4970886,2384.125
2073_1,2001-03-11,532732.000000027,4979266.99999999,2031.77014160156
2059_1,2001-03-12,546836.000000024,4976104,1839.25708007813
2073_1,2001-03-12,533246.999999997,4978722,2068.24487304688
2055_1,2001-03-12,550391.000000024,4970625.00000001,2138.26220703125
2055_1,2001-03-13,550555.999999981,4970757.99999999,2185.17456054688
2059_1,2001-03-13,547424.999999966,4975531,1868.91845703125
2073_1,2001-03-13,533524.000000015,4978617,2093.69702148437
2073_1,2001-03-14,534206.000000015,4977618,2070.55151367187
2055_1,2001-03-14,550446.000000002,4969582.99999999,1987.92602539063
2059_1,2001-03-14,548066.999999964,4975610,1895.29077148438
2073_1,2001-03-15,534262.000000028,4978203,2110.4619140625
2059_1,2001-03-15,547044.000000006,4976137,1887.62231445313
2055_1,2001-03-15,549492.999999964,4971183,1919.55981445313
2073_1,2001-03-16,535688.000000027,4980522.00000001,2007.76098632813
2059_1,2001-03-16,547593.999999996,4975842,1901.81311035156
2055_1,2001-03-16,550189.000000008,4970596,2076.68676757813
2073_1,2001-03-17,532461.000000009,4980881,1969.60961914063
2055_1,2001-03-17,550513.000000032,4971068,2191.43969726563
2059_1,2001-03-17,549275.000000005,4975228,1871.35607910156
2059_1,2001-03-18,550326.000000031,4974773,1909.63122558594
2073_1,2001-03-18,532270.000000012,4980944,1974.11560058594
2055_1,2001-03-18,550124.999999978,4972679.00000001,1914.44982910156
2059_1,2001-03-19,548227.000000012,4975568,1914.31225585938
2073_1,2001-03-19,533490.000000013,4978691,2094.40991210938
2055_1,2001-03-19,550803.999999976,4972549,1906.67163085938
2055_1,2001-03-20,551188.999999999,4972813,1893.78833007813
2059_1,2001-03-20,550240.000000036,4974351,1883.11303710938
2073_1,2001-03-20,533389.999999991,4979036,2094.43774414063
2073_1,2001-03-21,533447.999999982,4978713,2094.55053710938
2059_1,2001-03-21,551661.999999981,4974591,1896.62622070313
2055_1,2001-03-21,551630.999999968,4972508.00000001,1906.96997070313
2059_1,2001-03-22,552190.999999961,4973806,1887.74157714844
2073_1,2001-03-22,534338.000000037,4978843,2123.08251953125
2055_1,2001-03-22,551660.000000011,4972437,1916.81689453125
2055_1,2001-03-23,551624.999999979,4972679,1899.84057617188
2059_1,2001-03-23,552710.999999983,4973823.00000001,1905.830078125
2073_1,2001-03-23,533926.99999998,4978499.99999999,2104.54077148438
2055_1,2001-03-24,550772.00000002,4972624,1905.087890625
2059_1,2001-03-24,554377.999999996,4974268,1904.68896484375
2073_1,2001-03-24,532955.999999978,4979478,2035.67565917969
2059_1,2001-03-25,554177,4974293,1906.80847167969
2073_1,2001-03-25,534130.000000036,4978897,2117.9091796875
2055_1,2001-03-25,550614.99999996,4972553,1909.60375976563
2073_1,2001-03-26,535329.000000012,4978693,2092.62646484375
2059_1,2001-03-26,557372.999999987,4973845,2002.20336914063
2055_1,2001-03-26,550253.000000028,4972674,1910.6435546875
2073_1,2001-03-27,534652.999999995,4979121,2084.974609375
2059_1,2001-03-27,555976.000000027,4974631,2122.02880859375
2055_1,2001-03-27,547327.000000007,4974890,1845.39111328125
2059_1,2001-03-28,556696.000000025,4974175,2055.29028320313
2073_1,2001-03-28,534111.999999962,4981046.00000001,2014.37829589844
2055_1,2001-03-28,548477.99999998,4972891,1924.02624511719
2073_1,2001-03-29,532670.00000003,4980971,1949.763671875
2059_1,2001-03-29,556718.000000013,4973934,2033.99475097656
2055_1,2001-03-29,547217.999999976,4973832,1909.494140625
2059_1,2001-03-30,554000.000000019,4974366,1906.90795898438
2073_1,2001-03-30,532493.999999962,4980612,1936.63525390625
2055_1,2001-03-30,547201.999999983,4973919,1900.41674804688
2059_1,2001-03-31,552540.999999993,4973886,1906.10437011719
2055_1,2001-03-31,547399.000000026,4974605,1854.63500976563
2073_1,2001-03-31,533289.000000009,4981225,1941.74462890625
2073_1,2001-04-01,532484.999999998,4981052,1946.96057128906
2055_1,2001-04-01,547586.99999999,4973882,1906.556640625
2059_1,2001-04-01,554897.999999961,4974664,1975.96704101563
2055_1,2001-04-02,548097.000000035,4972714,1968.13049316406
2059_1,2001-04-02,555267.000000028,4974518,2036.76489257813
2073_1,2001-04-02,533421.000000002,4979828,2064.30615234375
2055_1,2001-04-03,550808.000000017,4972549,1906.31713867188
2073_1,2001-04-03,532524.999999977,4980937,1968.11071777344
2059_1,2001-04-03,554036.999999964,4974666,1927.84704589844
2059_1,2001-04-04,557102.999999972,4974429.00000001,2076.5400390625
2055_1,2001-04-04,551030.000000023,4972738,1895.97436523438
2073_1,2001-04-04,533312.999999978,4981384,1927.11413574219
2059_1,2001-04-05,557389.000000028,4973726.00000001,1992.28564453125
2055_1,2001-04-05,550922.999999994,4973456,1916.87109375
