elkYear,date,X,Y,elevation
3057_1,2019-05-29,628367.675947284,4832687.71699199,2394.046875
3057_1,2019-05-30,626373.956445725,4833736.9274223,2499.046875
3057_1,2019-05-31,626939.702598686,4833480.65276916,2456.8134765625
3057_1,2019-06-01,625583.048961748,4837135.99325225,2702.60961914063
3057_1,2019-06-02,625113.701922571,4838176.11222977,2718.73828125
3057_1,2019-06-03,623868.735180554,4838887.19613259,2642.51953125
3057_1,2019-06-04,623222.741413424,4839399.76312941,2708.60595703125
3057_1,2019-06-05,623120.534018327,4839311.99750937,2668.63354492188
3057_1,2019-06-06,623442.548983496,4839108.17909718,2659.0107421875
3057_1,2019-06-07,622987.349292424,4839404.86964288,2648.54370117188
3057_1,2019-06-08,623117.801399679,4839836.45733012,2639.77001953125
3057_1,2019-06-09,621911.86277114,4841092.11281814,2657.10791015625
3057_1,2019-06-10,621983.828202483,4842075.67231282,2703.509765625
3057_1,2019-06-11,622922.735268809,4843666.32107976,2841.71215820313
3057_1,2019-06-12,622872.161482798,4842282.61435479,2784.70532226563
3057_1,2019-06-13,623326.962975092,4843492.57219472,2830.46630859375
3057_1,2019-06-14,622560.256523081,4843449.78172694,2815.3134765625
3057_1,2019-06-15,622763.859427265,4843281.87181671,2799.91723632813
3057_1,2019-06-16,622618.90905177,4843269.76316811,2787.93676757813
3057_1,2019-06-17,622846.375288775,4842930.64151272,2811.21508789063
3057_1,2019-06-18,622846.107015901,4843321.604479,2802.62231445313
3057_1,2019-06-20,623937.723405251,4843742.3147956,2887.98828125
3057_1,2019-06-21,624069.788346543,4844078.52238415,2896.7275390625
3057_1,2019-06-23,622806.821696005,4843578.30478746,2842.5517578125
3057_1,2019-06-24,622494.503879409,4843639.33624822,2855.76123046875
3057_1,2019-06-25,622099.205567369,4843326.89499339,2819.7138671875
3057_1,2019-06-26,622589.805360169,4843345.44433915,2799.876953125
3057_1,2019-06-27,623306.498646373,4843854.49889117,2873.81909179688
3057_1,2019-06-28,624222.17949109,4844434.1103978,2789.94580078125
3057_1,2019-06-29,624521.695245252,4844315.81440747,2732.0361328125
3057_1,2019-06-30,624518.848829277,4844468.30611389,2752.67114257813
3057_1,2019-07-02,624521.873532571,4844306.26285234,2732.0361328125
3057_1,2019-07-03,624532.085054414,4844497.10675373,2763.140625
3057_1,2019-07-04,624433.152859359,4844981.67088642,2797.1279296875
3057_1,2019-07-05,624586.313668117,4844927.31180205,2783.51171875
3057_1,2019-07-07,628518.074983302,4846813.83316624,2776.75048828125
3057_1,2019-07-08,631421.53906952,4848186.41308521,3253.8876953125
3057_1,2019-07-09,632295.420781907,4848022.59866088,3076.03564453125
3057_1,2019-07-10,631485.586881736,4846690.48935244,3215.48779296875
3057_1,2019-07-11,632194.452170593,4847190.83251311,3234.99291992188
3057_1,2019-07-12,631433.383157978,4848634.85907227,3249.3837890625
3057_1,2019-07-13,630906.409517808,4848376.60094531,3092.31030273438
3057_1,2019-07-14,630543.833983902,4849952.5567312,3091.623046875
3057_1,2019-07-15,631092.763268024,4850144.44725568,3165.20434570313
3057_1,2019-07-16,630883.488322606,4848137.71230428,3197.5634765625
3057_1,2019-07-17,630881.80925081,4847870.68628408,3218.50366210938
3057_1,2019-07-18,630900.513877195,4847975.93983683,3207.0146484375
3057_1,2019-07-19,629721.631669902,4845702.2983212,3070.50024414063
3057_1,2019-07-20,630094.891647962,4848179.48926378,3140.76196289063
3057_1,2019-07-21,631475.360604477,4847910.92549045,3253.345703125
3057_1,2019-07-22,631377.802362029,4848652.87348018,3245.75415039063
3057_1,2019-07-23,630544.768005351,4849904.90955931,3093.103515625
3057_1,2019-07-24,630543.833983902,4849952.5567312,3091.623046875
3057_1,2019-07-25,628799.412617665,4850853.11264574,3181.947265625
3057_1,2019-07-26,626978.894799583,4850694.14653976,3447.73120117188
3057_1,2019-07-27,626958.582239926,4850674.76002491,3441.98217773438
3057_1,2019-07-28,628253.970207572,4848687.33339475,3095.75439453125
3057_1,2019-07-29,627743.629601939,4848639.41867596,2978.96728515625
3057_1,2019-07-30,627249.22885404,4848477.40869411,3100.76977539063
3057_1,2019-07-31,627291.402537449,4848439.99389916,3108.05126953125
3057_1,2019-08-01,626613.719888384,4850286.65538772,3335.64111328125
3057_1,2019-08-02,627155.898401024,4849743.90084638,3233.62255859375
3057_1,2019-08-03,625539.977419846,4848978.95178124,3270.0947265625
3057_1,2019-08-04,625958.70728556,4848757.97985038,3229.1318359375
3057_1,2019-08-05,625438.60195726,4849959.32006638,3256.75830078125
3057_1,2019-08-07,628799.412617665,4850853.11264574,3181.947265625
3057_1,2019-08-08,628854.967585502,4850835.07720496,3168.02075195313
3057_1,2019-08-09,628934.045976722,4850674.50250002,3110.00537109375
3057_1,2019-08-10,628799.412617665,4850853.11264574,3181.947265625
3057_1,2019-08-11,628764.347512735,4850881.10003882,3193.171875
3057_1,2019-08-12,628758.35293905,4850833.2079516,3191.4091796875
3057_1,2019-08-13,629071.988527875,4850686.73052468,3060.13696289063
3057_1,2019-08-14,628757.246693032,4850890.4068248,3193.171875
3057_1,2019-08-15,628806.330882221,4850853.24649384,3181.947265625
3057_1,2019-08-16,628467.130304978,4850532.03714993,3153.68237304688
3057_1,2019-08-17,628850.896170046,4850692.003231,3106.32690429688
3057_1,2019-08-18,628757.798743323,4850861.86292049,3196.6328125
3057_1,2019-08-19,628897.319341827,4850788.2319732,3148.23486328125
3057_1,2019-08-20,628798.675597976,4850891.2082069,3175.30737304688
3057_1,2019-08-21,628911.15601011,4850788.49987725,3139.14477539063
3057_1,2019-08-22,628982.394701833,4850675.43898128,3095.841796875
3057_1,2019-08-23,627919.682954185,4848824.0112329,3069.32592773438
3057_1,2019-08-24,627697.434908523,4848886.52213567,3069.0556640625
3057_1,2019-08-25,626679.166862386,4847932.46138196,3043.78857421875
3057_1,2019-08-26,625956.585793381,4847775.77180803,3135.71484375
3057_1,2019-08-27,625693.597767251,4847065.06950913,3066.10986328125
3057_1,2019-08-28,624427.641453194,4847499.06435673,3246.3525390625
3057_1,2019-08-29,624769.97960902,4846561.41435815,3024.25634765625
3057_1,2019-08-30,625434.912195696,4847222.29765931,3121.9326171875
3057_1,2019-08-31,624665.849093345,4847694.28161026,3176.95556640625
3057_1,2019-09-01,625595.241208611,4847883.38949257,3201.35424804688
3057_1,2019-09-03,625565.843557366,4847606.29608893,3163.95727539063
3057_1,2019-09-04,626376.742854259,4846753.78271661,2874.28588867188
3057_1,2019-09-05,626125.084887563,4847635.85559486,3118.6357421875
3057_1,2019-09-06,626192.633052881,4847351.03902007,3051.50048828125
3057_1,2019-09-07,625168.499691484,4846320.90068297,3003.59350585938
3057_1,2019-09-08,624533.613114028,4845899.03880128,2848.1630859375
3057_1,2019-09-09,624817.502475807,4846238.10286838,2993.3291015625
3057_1,2019-09-10,624277.497562409,4844063.27859271,2828.44116210938
3057_1,2019-09-11,624435.921064441,4844094.89616839,2768.47705078125
3057_1,2019-09-13,624542.049381605,4843963.33037391,2725.7197265625
3057_1,2019-09-14,624506.245045315,4844401.29777451,2744.5263671875
3057_1,2019-09-16,624087.647070881,4844231.39891384,2869.3671875
3057_1,2019-09-17,624888.235980405,4844675.42007465,2714.30078125
3057_1,2019-09-19,624846.524332564,4844321.88551568,2701.57080078125
3057_1,2019-09-20,625054.049678479,4844316.21756933,2647.12451171875
3057_1,2019-09-21,625125.771794707,4844546.4360619,2667.49389648438
3057_1,2019-09-22,625763.27836408,4845569.25107122,2707.7265625
3057_1,2019-09-23,625749.611104223,4845559.43835837,2710.1171875
3057_1,2019-09-24,625902.595214388,4845876.97278057,2752.89990234375
3057_1,2019-09-26,626049.829435059,4845403.00491618,2662.82763671875
3057_1,2019-09-27,626470.570534183,4847270.5341982,2958.26904296875
3057_1,2019-09-28,626447.53358991,4847394.09041113,2989.52905273438
3057_1,2019-09-30,626559.85271441,4847300.78299913,2914.1240234375
3057_1,2019-10-01,625801.238421693,4846485.46771928,2939.76538085938
3057_1,2019-10-02,624818.456923662,4847296.60801664,3188.65454101563
3057_1,2019-10-04,624039.579912745,4846442.90247848,2975.7578125
3057_1,2019-10-05,624428.826826879,4846698.02842245,3056.130859375
3057_1,2019-10-06,624109.438116711,4846405.98304814,2960.24560546875
3057_1,2019-10-08,623729.739713132,4846007.95338013,2993.89990234375
3057_1,2019-10-09,623713.319496907,4846150.7494841,3042.54833984375
3057_1,2019-10-10,624019.778542806,4846394.87074185,2977.47729492188
3057_1,2019-10-11,624018.538869612,4846461.50969829,2984.99658203125
3057_1,2019-10-12,623939.004465331,4846650.79502649,3079.3896484375
3057_1,2019-10-13,624175.487714261,4846197.44967493,2918.8818359375
